Player,MIN,FGM/FGA,FG%,FTM/FTA,FT%,3:00 PM,REB,AST,STL,BLK,TO,PTS,FG%_zscore,FT%_zscore,3:00 PM_zscore,REB_zscore,AST_zscore,STL_zscore,BLK_zscore,TO_zscore,PTS_zscore,TO_zscore_inverted,Total_ZScore,Rank
Pelle Larsson MiaSG,24.7,3.0/6.0,0.5,3.3/4.0,0.833,0.7,3.0,4.0,1.0,0.0,1.0,10.0,0.22843934739482874,0.5577726030114103,-0.5208093595096157,-0.3164413908668533,1.0074832910614422,0.5015729289554668,-0.7908885994666479,-0.15159076717457629,0.18723377430739152,0.15159076717457629,1.005953362061999,61
"Vince Williams Jr. MemSG, PG",17.0,2.8/6.0,0.458,2.0/2.0,1.0,1.3,2.8,2.8,1.3,0.3,1.8,8.8,-0.04027126639640822,1.0171296364599207,0.06940101546188393,-0.4043867390532082,0.3470820453120517,1.0201123840489619,-0.148455833454703,0.8221745549714691,-0.036212999667750254,-0.8221745549714691,1.0022236877392796,62
Patrick Williams ChiPF,23.3,2.3/6.7,0.35,1.7/2.3,0.714,1.3,1.7,2.7,1.3,0.7,0.7,7.7,-0.7312414161453038,0.2304463336678612,0.06940101546188393,-0.8880861540781598,0.2920486081662694,1.0201123840489619,0.7081211878945568,-0.5167527629793434,-0.2410392091449638,0.5167527629793434,0.9765155128504492,63
Jaylin Williams OKCC,19.3,2.0/5.7,0.353,0.0/0.0,0.0,2.0,5.7,2.7,0.3,1.0,0.0,6.0,-0.7120478008745011,-1.7335112823934338,0.7579797862619667,0.870820809648937,0.2920486081662694,-0.7083524662626884,1.350553953906502,-1.3687974198571329,-0.5575888056097482,1.3687974198571329,0.9287002227004364,64
Jay Huff IndC,14.3,1.8/4.8,0.368,1.5/1.5,1.0,1.0,2.5,1.0,0.3,1.5,0.5,6.0,-0.6160797245204879,1.0171296364599207,-0.2257041720238659,-0.5363047613327404,-0.6435198233120337,-0.7083524662626884,2.4212752305930767,-0.7601940935158545,-0.5575888056097482,0.7601940935158545,0.9110492075072872,65
Sandro Mamukelashvili TorPF,17.7,2.7/5.7,0.471,2.0/2.0,1.0,1.3,5.3,1.7,0.3,0.7,1.7,8.7,0.04290106644373631,1.0171296364599207,0.06940101546188393,0.6949301132762272,-0.258285763291556,-0.7083524662626884,0.7081211878945568,0.7004538897032133,-0.054833564165679013,-0.7004538897032133,0.8105573361131886,66
Steven AdamsDTD HouC,18.5,2.0/3.0,0.667,0.0/1.0,0.0,0.0,7.0,2.0,1.0,1.0,1.0,4.0,1.296883930802843,-1.7335112823934338,-1.2093881303096985,1.4424655728602434,-0.0931854518542084,0.5015729289554668,1.350553953906502,-0.15159076717457629,-0.9300000955683181,0.15159076717457629,0.7769821935739726,67
"Isaac Okoro ChiSF, SG",23.7,4.0/7.3,0.545,1.0/1.3,0.75,2.0,1.0,1.7,1.0,0.3,1.3,11.0,0.5163435764568688,0.32946940674658204,0.7579797862619667,-1.1958948727304017,-0.258285763291556,0.5015729289554668,-0.148455833454703,0.21357122863019076,0.37343941928667646,-0.21357122863019076,0.6625974196007093,68
"Anfernee Simons BosSG, PG",25.5,5.0/14.0,0.357,1.3/1.5,0.833,2.5,1.5,1.5,0.3,0.3,0.5,13.8,-0.6864563138467643,0.5577726030114103,1.2498217654048829,-0.9760315022645145,-0.36835263758312103,-0.7083524662626884,-0.148455833454703,-0.7601940935158545,0.8948152252286744,0.7601940935158545,0.5749549337490307,69
Gary Trent Jr. MilSG,29.0,3.3/7.7,0.435,1.7/2.3,0.714,3.0,1.3,2.7,0.3,0.0,0.7,11.3,-0.18742231680589533,0.2304463336678612,1.7416637445477994,-1.0639768504508693,0.2920486081662694,-0.7083524662626884,-0.7908885994666479,-0.5167527629793434,0.42930111278046207,0.5167527629793434,0.45957232915563434,70
"Saddiq Bey NOSF, PF",24.5,4.5/8.0,0.563,1.5/2.0,0.75,1.8,4.8,0.5,0.0,0.0,0.5,12.3,0.6315052680816841,0.32946940674658204,0.5612429946048002,0.47506674281034017,-0.9186870090409464,-1.2268919213561835,-0.7908885994666479,-0.7601940935158545,0.6155067577597471,0.7601940935158545,0.4365177336552303,71
"Alex Caruso OKCSG, PG",18.0,3.0/5.5,0.545,0.0/0.0,0.0,2.0,1.5,1.5,1.5,0.5,0.5,8.0,0.5163435764568688,-1.7335112823934338,0.7579797862619667,-0.9760315022645145,-0.36835263758312103,1.3658053541112918,0.279832677219927,-0.7601940935158545,-0.18517751565117835,0.7601940935158545,0.417082549673661,72
"Anthony Black OrlPG, SG",25.5,2.5/6.5,0.385,2.0/2.0,1.0,0.5,3.0,4.0,0.5,1.0,2.0,7.5,-0.5073159046526061,1.0171296364599207,-0.7175461511667822,-0.3164413908668533,1.0074832910614422,-0.3626594962003583,1.350553953906502,1.0656158855079803,-0.2782803381408208,-1.0656158855079803,0.12730771489246373,73
Javonte Green DetSF,19.3,1.3/4.3,0.308,1.0/1.3,0.75,0.7,3.0,1.0,1.3,0.7,0.0,4.3,-0.9999520299365409,0.32946940674658204,-0.5208093595096157,-0.3164413908668533,-0.6435198233120337,1.0201123840489619,0.7081211878945568,-1.3687974198571329,-0.8741384020745326,1.3687974198571329,0.0716393928476573,74
Jarred Vanderbilt LALPF,15.5,1.3/2.0,0.625,1.0/1.0,1.0,0.3,3.0,1.3,0.5,0.5,0.5,3.8,1.0281733170116059,1.0171296364599207,-0.9142829428239486,-0.3164413908668533,-0.47841951187468607,-0.3626594962003583,0.279832677219927,-0.7601940935158545,-0.967241224564175,0.7601940935158545,0.0462851578772866,75
Svi Mykhailiuk UtahSG,29.3,3.8/9.3,0.405,0.5/0.8,0.667,2.0,3.3,1.5,0.3,0.3,0.5,10.0,-0.37935846951392166,0.10116621048175374,0.7579797862619667,-0.1845233685873211,-0.36835263758312103,-0.7083524662626884,-0.148455833454703,-0.7601940935158545,0.18723377430739152,0.7601940935158545,0.01753108916521129,76
